bodyweight_kg,bench_kg
94.53,190
88.68,217.5
82.42,195
77.02,192.5
77.97,197.5
106.28,238.5
99.43,230
96.3,190
111.63,190
107.27,232.5
107.95,222.5
92.85,207.5
89.4,187.5
89.4,187.5
73.89,170
103.06,195
86.86,175
86.86,175
86.86,175
86.86,175
96.57,177.5
96.07,185
72.89,175
78.34,172.5
85.82,157.5
87.54,172.5
97.84,180
81.28,167.5
79.2,152.5
79.2,152.5
82.33,137.5
93.89,165
132.72,160
132.72,160
79.47,142.5
110,125
98.66,
69.67,
63.82,
77.02,
80.38,
73.84,205
73.84,205
53.89,102.5
52.03,85
65.27,90
65.27,90
55.2,87.5
79.24,100
85.5,147.5
95.44,155
95.44,155
73.35,150
87.59,140
55.38,95
55.38,95
81.74,125
65,107.5
81.47,112.5
107.86,137.5
112.49,152.5
68.17,97.5
59.01,82.5
64.86,72.5
58.83,50
55.52,32.5
58.6,
85.5,
95.44,
95.44,
70.44,
77.88,
53.57,
85.5,
81.47,
64.68,
42.46,
63.41,205
63.41,205
63.41,205
109.72,275
89.54,262.5
134.85,275
133.85,285
133.85,285
73.53,207.5
151.23,285
108.86,227.5
86.73,195
133.08,240
65.86,175
65.86,175
112.4,232.5
89.86,185
69.22,182.5
68.63,145
84.91,165
95.71,172.5
87.91,182.5
88.41,192.5
93.94,197.5
65.27,155
77.38,142.5
90.95,175
89.36,152.5
85.5,147.5
90.54,147.5
119.75,195
129.95,200
97.66,140
59.87,97.5
128.46,110
76.84,90
51.85,50
92.8,
95.71,
98.2,
66.41,
66.41,
89.54,
92.8,
112.4,
73.62,
73.62,
69.22,
88.95,160
89.27,
109.59,
73.62,
70.13,
73.62,
107.73,
107.37,
85.5,
90.54,
120.29,
120.29,
120.29,
109.04,
109.04,
80.33,
54.48,112.5
67.47,112.5
67.47,112.5
58.6,97.5
58.6,97.5
71.62,100
61.33,87.5
54.88,82.5
54.88,82.5
64.41,75
101.15,245
97.43,245
92.62,242.5
92.62,242.5
89.81,215
136.89,275
74.3,195
74.3,195
133.31,245
109.09,230
89.13,182.5
89.54,192.5
89.54,192.5
89.54,192.5
96.84,212.5
81.51,175
99.84,185
86.77,140
64.91,120
54.48,
57.42,
66.04,
66.04,
65.5,
72.85,
54.88,
66.04,
66.04,
57.42,
54.88,
66.04,
66.04,
54.48,
63.5,
57.42,
101.15,
97.43,
89.81,
104.6,
67.68,
104.64,
93.85,
67.18,
97.79,
86.14,
115.44,
67.13,
95.25,
66.04,
66.04,
132.27,
89.54,
91.08,
80.15,
80.15,
86.05,
121.79,
67.18,
104.64,
71.76,
97.02,
91.08,
86.05,
104.64,
71.76,
71.76,
82.44,
80.51,
109.27,
109.27,
104.64,
99.29,
80.51,
87.23,
101.15,
91.08,
89.81,
92.62,
92.62,
86.05,
133.31,
67.18,
104.64,
66.04,
66.04,
78.29,
91.08,
80.51,
89.54,
79.06,
78.74,122.5
78.74,122.5
95.25,152.5
95.25,152.5
65.86,122.5
59.38,122.5
58.92,102.5
76.88,125
76.88,125
74.39,117.5
62.78,112.5
112.81,157.5
81.28,115
79.06,100
71.44,110
107.91,125
65.32,87.5
65.18,62.5
95.25,
95.25,
63,
63,
79.06,
78.74,
62.78,
75.89,
90.45,
119.52,
90.4,
132.99,
134.17,
85.77,
90.4,
132.99,
73.48,
132.54,
83.96,
119.52,
59.87,125
57.06,102.5
69.17,165
80.24,142.5
89.63,217.5
85.41,127.5
62.87,190
90.45,150
109.09,265
116.07,170
69.13,172.5
70.17,165
81.47,237.5
83.42,210
99.2,237.5
94.53,205
96.43,227.5
93.17,175
79.38,207.5
107.55,220
104.6,215
115.26,290
134.17,227.5
79.2,155
69.13,172.5
81.65,227.5
87.5,197.5
88.81,205
110,207.5
62.87,190
80.29,222.5
80.69,197.5
122.74,250
122.02,272.5
138.03,275
80.65,210
83.55,230
62.87,190
94.94,215
47.26,42.5
52.12,80
57.15,67.5
97.3,157.5
132.54,250
96.62,240
138.03,275
49.99,77.5
94.39,197.5
97.61,
57.02,
107.55,
108.23,
87.5,
80.29,
106.37,
106.37,
81.42,
134.17,
70.62,
81.19,
80.29,
130.54,
102.01,
152.63,
98.79,
152.63,
130.54,
89.86,
98.43,
58.24,160
63.23,100
50.21,62.5
107.55,300
97.48,182.5
123.65,165
130.18,272.5
89.99,
92.31,
55.34,
60.92,
35.24,
56.11,
60.92,
74.25,127.5
92.31,125
87,137.5
55.34,90
67.13,95
59.38,77.5
82.83,82.5
109.13,55
109.13,55
94.48,
94.48,
54.39,
108.82,342.5
93.35,242.5
114.21,272.5
67.45,205
95.93,242.5
67.27,162.5
96.34,222.5
89.58,220
113.62,227.5
98.66,205
152.72,257.5
84.41,185
80.01,152.5
178.72,185
84.91,147.5
163.07,190
163.07,190
112.17,145
59.96,77.5
50.26,52.5
97.66,
66.41,
66.41,
92.85,
105.87,
60.92,
97.66,
89.81,
66.41,
135.71,
104.55,
74.71,
81.28,
66.41,
66.41,
71.17,87.5
65.59,
88.36,
74.39,
85.28,
17.24,
61.19,97.5
65.59,95
66.59,50
77.84,107.5
98.88,145
98.88,145
98.88,145
49.76,82.5
70.71,100
61.19,97.5
61.19,97.5
61.19,97.5
66.18,87.5
72.35,107.5
72.35,107.5
66.54,105
66.22,70
88.36,95
77.84,
74.39,
77.88,
71.17,
88.9,
71.17,
65.59,
77.88,
101.15,
77.84,
74.39,
103.33,
103.33,
89.09,232.5
80.74,
101.15,
110.36,
80.65,
103.33,
103.33,
18.14,
99.25,
99.25,
110.36,
124.1,
144.7,
81.19,250
81.19,250
99.25,280
99.25,280
97.43,250
90.85,230
73.57,205
73.57,205
73.57,205
73.57,205
122.61,232.5
99.79,242.5
80.51,195
59.28,157.5
99.25,222.5
74.39,157.5
74.39,157.5
74.39,157.5
58.97,140
88.9,182.5
73.94,155
137.89,205
80.15,155
80.15,155
67.04,130
55.52,120
98.57,162.5
112.94,182.5
69.9,77.5
101.15,
55.38,
99.79,
64.09,
49.94,126
55.38,115
43.82,85
72.76,125
58.51,100
73.66,100
70.94,92.5
51.07,55
65.73,72.5
67.27,62.5
65.09,52.5
55.57,
64.09,
55.38,
77.2,
66.63,
66.63,
110.59,
110.59,
110.59,
78.06,
55.57,
99.79,
78.06,
81.06,182.5
81.06,182.5
78.74,172.5
106.32,
99.9,
82.42,
106.32,
94.85,
132.22,
98.34,
71.26,
109.18,
108.5,
108.5,
89.63,
66.22,
74.48,
66.22,
117.75,
89.77,
134.54,
134.54,
134.54,
112.76,
81.47,
87.09,
74.48,
98.34,
127.64,
94.85,
109.63,
59.28,
71.26,
78.74,
99.65,
66.27,
104.92,
86.45,
74.48,
81.92,
89.31,
84.91,
66.9,
66.9,
86.18,207.5
73.57,195
86,202.5
86.45,200
99.34,237.5
65.82,160
99.65,210
66.32,157.5
66.09,157.5
119.84,210
66.63,152.5
66.63,152.5
66.63,152.5
74.48,167.5
74.48,167.5
92.62,172.5
87.14,160
146.56,185
85.82,135
74.43,92.5
131.59,
96.03,252.5
96.03,252.5
89.77,
62.64,72.5
49.49,60
85.64,82.5
100.29,72.5
43.36,57.5
72.21,77.5
54.34,52.5
76.88,75
58.92,50
84.96,50
55.07,45
49.67,35
69.54,125
156.17,95
53.34,57.5
69.67,82.5
78.65,
78.65,
78.61,
79.02,
50.44,
69.54,
109.86,227.5
122.97,
109.86,
78.15,
78.15,
62.78,
51.48,
98.29,
70.85,
88.54,
63.14,
91.22,
73.94,
78.52,
121.88,
67.13,
81.01,
81.01,
116.26,232.5
81.74,162.5
115.94,182.5
118.75,187.5
108.73,167.5
70.35,125
98.16,165
66.5,107.5
91.67,135
58.74,97.5
75.43,105
58.06,80
69.26,105
73.62,97.5
97.61,97.5
114.89,147.5
110,162.5
73.8,70
153.72,100
96.75,70
123.6,67.5
76.25,50
79.83,50
79.65,212.5
74.25,160
108.36,137.5
92.08,85
88.13,197.5
87,185
70.81,97.5
96.16,87.5
73.03,77.5
74.21,80
109.72,
79.65,
108.45,
87,
62.78,
114.89,
109.86,
96.43,232.5
110.77,232.5
80.92,205
89.63,227.5
95.89,210
132.45,227.5
120.56,212.5
96.25,152.5
137.62,
103.78,
140.89,
89.54,
116.98,
116.98,
59.1,
77.2,
108.32,
66.41,122.5
65.09,
106.14,
54.88,
58.97,
101.83,
58.92,
63.41,
64.09,
106.14,
68.86,
66.77,
66.77,
66.77,
71.08,
79.29,
79.29,
54.88,
59.69,
64.09,
63.41,
51.44,132.5
61.14,155
58.92,135
47.9,105
97.7,157.5
97.7,157.5
56.65,120
65,125
50.62,120
74.84,125
57.2,105
74.57,122.5
71.08,127.5
91.22,155
82.1,97.5
80.24,112.5
66.32,102.5
70.31,92.5
79.29,105
66.95,110
101.83,115
106.14,92.5
41.1,42.5
66.72,105
97.7,
97.7,
58.97,
77.2,
77.2,
63.41,
78.29,
68.86,
74.07,
106.14,
78.29,
72.3,100
72.3,100
117.98,372.5
119.84,337.5
123.69,342.5
123.69,342.5
103.46,232.5
115.85,240
115.85,240
109.95,225
105.19,
105.19,
122.65,
109.95,
81.74,
83.6,
111.31,
120.43,
92.31,
80.01,
82.19,
65.41,
81.69,
53.75,
53.75,
106.41,
107.82,
93.98,
221.81,
132.36,
132.36,
71.99,
71.99,
158.12,
121.65,
62.64,
53.75,
53.75,
53.75,
88.54,
71.62,
107.5,
112.72,
71.85,
71.85,
74.34,
74.34,
119.29,
108.95,345
108.95,345
77.61,250
82.33,252.5
99.52,282.5
109.72,277.5
81.92,240
80.01,215
81.96,235
89.86,235
62.64,195
62.64,195
72.94,190
72.94,190
89.86,215
69.99,220
81.78,190
82.19,205
130.95,295
130.95,295
114.53,275
88.04,225
81.69,205
97.52,215
77.43,202.5
96.66,217.5
98.2,215
65.95,167.5
108.5,247.5
108.5,247.5
81.19,182.5
88.77,227.5
89.9,242.5
99.61,230
90.63,225
83.01,172.5
97.2,197.5
107.5,232.5
107.5,232.5
78.79,175
90.72,220
102.69,210
87,180
106.73,182.5
81.83,205
77.25,185
101.24,185
74.62,167.5
53.75,125
53.75,125
98.93,182.5
78.97,170
107.73,192.5
88.99,165
109.41,192.5
79.24,137.5
94.76,182.5
79.65,160
109.13,182.5
109.13,182.5
73.75,140
73.75,140
186.02,250
86,162.5
80.29,132.5
86.59,125
88.63,100
88.63,100
66.22,97.5
123.47,115
91.85,92.5
109.77,107.5
51.03,55
109.72,
120.43,
92.31,
80.01,
109.72,
105.23,
81.96,
82.19,
62.64,
65.41,
71.99,
71.99,
77.43,
79.7,
121.65,
53.75,
53.75,
53.75,
98.93,
97.61,
88.54,
88.54,
81.83,
73.44,
108.45,
151,
119.29,
109.95,
82.19,
83.6,
109.72,
79.65,
79.65,
74.39,137.5
65.59,115
65.59,115
65.18,
54.48,
54.48,
69.26,
73.35,
65.59,
72.17,
69.26,
65.59,
65.59,
65.59,
99.97,
55.93,
65.68,
65.68,
70.81,152.5
73.35,147.5
66.95,130
66.95,130
65.59,115
79.83,132.5
74.16,117.5
65.77,100
66.72,112.5
66.77,105
60.78,97.5
57.33,105
57.33,105
57.33,105
66.9,97.5
62.64,97.5
80.15,105
97.98,145
59.06,90
59.28,95
59.28,95
63.96,90
73.07,85
80.74,100
51.44,60
69.9,92.5
99.97,85
44.68,47.5
66.77,
66.18,82.5
73.89,112.5
93.49,232.5
88.54,192.5
88.54,192.5
98.88,212.5
98.88,212.5
88.54,
88.54,
131.27,
102.28,
79.42,
99.88,
55.43,
55.43,
89.4,
17.96,
117.21,
126.82,
112.35,
83.91,
74.48,
89.68,
88.45,
96.66,
86,
83.82,
79.42,212.5
74.3,212.5
86.27,232.5
73.89,207.5
100.15,240
112.35,232.5
95.25,235
115.44,227.5
95.25,220
73.12,200
95.21,222.5
92.58,197.5
92.58,197.5
100.33,220
100.33,220
100.33,220
79.83,182.5
76.66,177.5
80.47,180
89.68,210
89.68,185
96.16,192.5
72.8,177.5
88.5,182.5
80.47,167.5
99.34,187.5
74.48,175
81.47,175
115.53,210
88,185
81.78,157.5
133.54,210
81.78,157.5
81.65,185
81.65,177.5
81.78,157.5
81.78,157.5
81.78,157.5
87.54,200
65.18,145
99.34,175
126.42,200
72.71,130
134.76,200
73.3,142.5
109.77,160
86.05,145
77.2,145
70.03,152.5
94.35,175
95.21,155
81.87,140
65.36,120
133.81,182.5
70.76,117.5
71.3,115
116.66,165
105.23,142.5
82.05,155
74.66,127.5
96.48,132.5
96.25,142.5
112.35,
124.1,
97.2,
80.92,
99.88,
99.52,
55.43,
55.43,
88.54,
88.54,
78.7,
78.7,
82.6,
82.6,
87.04,
74.62,
87.04,
79.74,
79.56,
80.88,
107,
83.91,
87.04,150
66.9,137.5
63.37,140
73.26,137.5
79.74,115
53.84,82.5
64.23,107.5
79.56,110
79.56,110
54.75,100
81.92,110
55.47,85
63.46,97.5
82.01,75
65.68,85
102.01,100
59.24,65
59.24,65
105.1,70
103.33,60
118.3,
106.91,305
109.5,267.5
74.75,197.5
89.63,245
146.69,
99.43,
150.37,
105.14,
115.98,
120.34,
89.13,
89.86,
99.43,
71.21,
93.39,
87.41,
67.36,
74.75,
64.05,212.5
64.05,212.5
64.05,212.5
89.86,270
88.9,247.5
88.99,212.5
126.55,257.5
106.64,245
88.59,202.5
109.13,227.5
108.18,232.5
81.01,195
72.57,210
73.3,200
87,185
80.65,172.5
98.07,210
71.21,160
106.19,197.5
82.37,192.5
100.65,212.5
87.41,182.5
71.62,152.5
146.69,240
73.26,150
105.14,182.5
88.5,155
98.38,155
104.51,165
87.54,165
79.83,150
85.23,145
109.77,157.5
81.87,125
119.02,150
120.34,150
50.3,65
109.95,107.5
72.53,92.5
88,
87,
105.14,
74.43,
57.47,
87.82,172.5
64.23,142.5
64.23,142.5
50.03,102.5
64.59,85
64.27,82.5
74.84,75
75.8,87.5
124.65,105
52.93,95
86.95,190
88.36,155
81.1,150
88.36,155
74.57,162.5
87.23,160
97.2,227.5
98.38,180
121.11,290
108.23,185
74.66,190
88.36,155
107.82,245
60.96,145
62.78,145
73.53,182.5
71.99,142.5
80.78,220
78.24,162.5
84.5,215
95.48,212.5
98.43,262.5
93.62,232.5
107.82,245
105.46,197.5
121.65,290
111.58,272.5
81.65,207.5
88.36,155
93.98,185
108.54,205
176.18,237.5
92.26,152.5
104.51,165
81.15,187.5
90.58,192.5
101.83,227.5
109.86,205
105.1,205
109.41,187.5
73.62,147.5
82.19,225
80.78,220
75.8,165
81.6,167.5
80.88,175
86.32,250
89.58,167.5
88.22,165
83.55,167.5
95.66,265
91.58,167.5
101.33,255
109.86,242.5
108.82,195
106.5,217.5
118.52,210
138.8,192.5
73.26,155
78.61,165
70.53,145
96.21,242.5
111.9,205
95.48,
95.48,
121.65,
101.33,
74.57,
74.57,
74.57,
78.24,
78.24,
93.39,
104.42,
89.22,
89.22,
68.13,
121.11,
98.66,
105.28,
88.36,
88.36,
104.51,
176.18,
88.77,
110.45,
122.65,
68.13,
111.58,
105.28,
98.34,
108,
77.52,
139.25,
139.25,
97.2,
103.01,
93.98,
57.47,
53.75,92.5
56.97,100
57.97,82.5
58.06,90
59.83,67.5
61.28,110
67.18,85
61.37,90
88.45,137.5
87.77,115
89.63,90
83.23,72.5
135.03,107.5
43.5,130
51.48,75
55.11,60
58.33,165
59.19,110
67.18,132.5
64.32,120
64.82,97.5
68.86,120
68.22,105
76.16,77.5
84.82,120
158.12,227.5
104.96,185
47.67,106
46.63,67.5
45.31,55
51.44,137.5
53.52,97.5
56.93,85
59.01,72.5
59.83,67.5
61.37,90
62.46,75
68.4,112.5
80.65,92.5
89.63,90
99.84,87.5
44.68,77.5
46.4,85
50.3,87.5
51.48,75
50.3,77.5
51.21,60
49.85,50
55.11,60
55.38,52.5
64.32,120
66.04,110
64.82,97.5
64.09,107.5
62.69,80
62.64,85
68.86,120
70.35,122.5
73.12,120
73.26,107.5
73.44,97.5
68.22,105
73.03,77.5
81.87,152.5
80.24,82.5
76.88,77.5
76.16,77.5
88.77,142.5
88.18,137.5
83.1,115
46.63,
51.44,
53.52,
68.4,
44.68,
46.4,
50.3,
50.3,
66.04,
64.09,
73.26,
73.12,
70.35,
73.44,
81.87,
80.24,
83.1,
88.77,
88.18,
59.74,152.5
59.47,145
67.4,182.5
64.14,120
72.3,150
72.12,137.5
71.71,120
80.29,180
77.61,165
79.47,157.5
80.29,85
89.99,177.5
89.63,87.5
99.97,145
91.72,150
101.83,185
124.6,237.5
102.42,152.5
116.44,92.5
130.73,265
54.84,187.5
55.79,117.5
59.01,115
61.51,132.5
64.95,125
65.82,142.5
71.62,145
80.97,207.5
76.07,127.5
83.64,192.5
89.68,190
103.74,275
129.41,242.5
51.48,
53.75,
55.93,
62.19,
71.08,
70.9,
81.28,
75.98,
80.15,
86.59,
87.54,
99.38,
105.41,
114.49,
62.6,
74.43,
77.38,
97.3,
95.3,
50.8,
104.01,
123.38,
51.48,
53.75,
70.9,
81.28,
87.54,
86.59,
99.38,
105.41,
114.49,
55.97,87.5
59.74,152.5
58.74,127.5
59.78,130
58.74,97.5
65.91,142.5
73.44,160
73.62,160
72.3,150
71.03,145
72.17,157.5
70.53,150
72.35,142.5
73.07,150
74.3,127.5
71.62,107.5
77.93,165
79.47,157.5
95.75,152.5
101.83,185
109.54,187.5
123.38,250
118.57,182.5
126.55,187.5
142.97,182.5
51.48,100
50.62,102.5
51.89,107.5
50.8,87.5
53.75,105
55.52,
59.96,170
58.6,160
59.01,115
67.04,172.5
61.1,160
65.63,145
61.51,132.5
64.95,125
67.31,110
61.46,97.5
72.12,190
71.17,152.5
71.44,175
73.71,140
69.04,137.5
70.9,100
80.42,190
81.28,147.5
80.33,
89.49,217.5
82.6,207.5
86.23,192.5
89.68,190
88.81,207.5
86.59,130
87.54,127.5
98.2,257.5
98.66,220
99.38,182.5
99.97,205
95.03,190
91.9,182.5
101.38,167.5
105.78,240
105.37,210
105.41,165
105.46,172.5
116.3,265
111.4,210
123.06,200
111.36,157.5
114.49,147.5
145.83,257.5
156.04,232.5
55.97,
104.01,
51.48,
50.62,
55.52,
53.75,
70.9,
81.28,
86.59,
87.54,
99.38,
95.03,
105.41,
114.49,
59.78,
58.74,
73.62,
70.53,
71.03,
73.07,
77.93,
109.54,
142.97,
51.89,
51.48,
50.8,
53.75,
58.6,
67.04,
65.63,
62.19,
71.44,
70.9,
80.42,
81.28,
75.98,
82.6,
86.23,
88.81,
87.54,
86.59,
98.2,
99.38,
91.9,
105.78,
105.37,
105.41,
114.49,
145.83,
156.04,
107.23,102.5
76.2,40
76.43,35
82.1,30
86.36,30
85.14,155
85.14,155
80.47,155
59.24,122.5
106.59,167.5
64.86,105
50.08,97.5
82.42,117.5
92.22,147.5
88.72,130
93.12,125
113.49,125
82.19,105
77.7,97.5
103.6,107.5
65.73,72.5
65.73,72.5
93.67,115
71.26,87.5
86.23,80
71.94,80
71.94,80
91.26,75
54.61,60
66.63,45
64.05,70
80.47,
76.48,
71.76,
83.37,
72.26,
127.14,
52.16,
109.09,
84.5,
84.5,
88.9,
88.9,
88.9,
88.9,
154.22,
109.45,
83.01,
83.01,
78.93,
87.09,167.5
87.09,167.5
39.46,60
73.03,75
66.68,52.5
123.38,330
120.66,240
90.04,185
50.8,100
98.88,150
107.05,115
70.31,115
104.55,
102.74,
80.74,
80.74,
87.09,
87.09,
112.94,
112.94,
71.21,
140.16,
140.16,
68.95,
89.81,
89.81,
69.85,
81.19,277.5
103.42,252.5
88.77,222.5
97.98,255
70.31,192.5
129.73,295
74.84,187.5
74.84,187.5
74.84,187.5
74.84,187.5
79.83,217.5
79.83,217.5
122.92,242.5
92.08,217.5
72.57,185
72.57,180
139.71,265
97.07,205
80.74,192.5
88.22,160
73.71,150
65.32,147.5
88.45,185
87.54,195
71.21,165
120.66,182.5
130.63,205
182.34,260
98.43,150
83.46,127.5
57.61,102.5
73.8,102.5
109.77,145
99.79,122.5
73.71,85
68.95,110
41.28,60
36.29,40
42.18,45
29.94,27.5
80.97,
104.55,
73.94,
126.1,
73.03,
33.61,50
46.13,57.5
64.18,72.5
57.83,117.5
89.31,130
63.05,102.5
99.34,137.5
54.43,92.5
55.29,87.5
82.05,122.5
106.59,127.5
65.14,102.5
58.29,85
99.47,102.5
55.66,60
62.64,77.5
62.64,77.5
70.99,87.5
75.3,90
61.23,67.5
72.85,77.5
57.83,
58.29,
61.23,
123.15,
83.19,
104.01,
109.77,
128.23,
65.36,
97.89,
94.66,
99.25,
96.43,
80.78,
92.44,
90.76,
80.51,
78.88,
122.56,
96.25,
82.01,
90.76,
106.05,
104.01,
106.05,
106.96,
92.44,
119.98,
72.12,207.5
96.43,260
107.86,255
88.31,207.5
109.45,205
101.01,220
108.95,220
108.95,220
88.45,202.5
99.84,217.5
106.05,230
82.15,170
73.94,175
80.78,172.5
104.01,197.5
150.86,272.5
71.67,165
138.62,207.5
87.18,167.5
59.1,130
87.14,180
92.44,185
87.18,165
133.4,220
98.88,182.5
74.03,155
74.03,155
82.92,140
135.85,150
135.85,150
136.44,182.5
77.52,72.5
112.76,230
112.76,230
69.85,150
64.55,77.5
86.5,
57.42,
79.42,165
89.99,167.5
149.91,182.5
89.36,227.5
89.36,227.5
81.87,222.5
120.66,287.5
120.66,287.5
81.69,195
88.9,230
88.9,230
88.9,230
88.9,230
68.27,182.5
80.92,192.5
97.52,217.5
86.18,187.5
98.2,212.5
85.14,182.5
69.31,162.5
69.31,162.5
69.13,165
69.13,165
83.96,182.5
115.03,197.5
115.03,197.5
105.05,147.5
91.31,92.5
91.31,92.5
91.31,92.5
74.62,110
81.87,
96.84,
87.91,
106.59,
96.84,
98.43,
96.84,
81.87,
85.14,
73.03,
66.5,
89.81,
65.09,
81.06,
26.85,25
54.79,42.5
71.58,87.5
74.3,112.5
72.67,112.5
72.67,112.5
74.03,107.5
65.95,
82.64,
82.64,
122.83,
88.09,
94.12,
89.45,142.5
127.55,207.5
136.44,162.5
76.66,155
108.5,210
117.93,200
85.18,237.5
87.27,180
85.18,237.5
69.58,145
72.85,112.5
87.72,202.5
136.44,162.5
122.83,220
88.27,115
99.79,142.5
98.79,182.5
99.79,142.5
87.27,
103.96,
103.96,
103.96,
87.27,
88.09,
97.52,
113.4,
98.79,
89.36,
82.01,
82.01,
122.83,
95.53,
87.27,
98.79,
58.97,
73.94,
113.94,
113.94,
98.66,
112.04,
79.56,
105.69,
74.03,
99.02,247.5
97.52,187.5
123.1,220
136.98,332.5
102.69,227.5
74.75,192.5
73.94,140
73.53,157.5
70.53,125
89.13,155
87,112.5
94.35,125
112.04,190
113.13,182.5
154.9,215
88.68,205
86.77,175
131.31,197.5
73.03,102.5
105.69,182.5
78.97,165
87,112.5
73.94,140
88.68,205
86.77,175
89.81,132.5
107.5,227.5
73.62,170
81.1,165
79.56,160
99.79,212.5
108.77,255
108.59,180
80.97,195
96.12,205
109.32,215
65.32,102.5
76.57,130
82.1,137.5
98.11,165
108.86,230
108.09,147.5
89.36,116
52.53,97.5
66.45,100
70.76,75
74.84,120
60,100
66.59,125
88.63,110
65.73,90
59.56,105
66.54,100
70.76,75
74.84,120
74.84,120
100.7,102.5
60,100
94.35,
88.9,
86.77,
109.32,
120.2,
100.7,
81.19,
66.04,107.5
98.84,
112.04,
88.68,
88.68,
73.94,
86.77,
74.62,
95.8,
82.15,
81.51,
66.59,
74.84,
74.84,
74.84,
100.7,
83.28,
138.53,
112.04,
89.13,
109.32,
86.77,
74.89,
131.31,
74.62,
97.52,
70.53,
79.56,
109.09,
153.68,
65.5,95
105.69,122.5
85.55,62.5
47.4,70
59.28,117.5
59.56,95
94.26,165
94.26,165
66.32,115
72.03,125
72.03,125
94.26,165
72.03,125
89.04,105
65.86,120
64.86,102.5
80.42,
80.42,
59.56,
85.55,
85.55,
88.18,
93.76,
93.76,
113.72,
66.59,
34.75,55
77.84,177.5
97.7,127.5
116.03,177.5
89.13,205
127.78,227.5
84.82,182.5
97.61,185
85.64,142.5
71.85,185
111.58,280
73.48,197.5
107.55,275
46.77,25
65.59,75
74.43,155
80.56,110
80.65,72.5
89.13,205
87.68,202.5
97.98,142.5
102.51,220
109,210
102.19,200
105.32,150
110.86,205
120.88,210
97.16,247.5
81.74,205
97.16,247.5
106.14,192.5
80.74,192.5
79.24,172.5
88,245
88,155
89.54,112.5
97.84,227.5
96.98,175
105.96,232.5
66.59,100
73.07,225
74.48,195
78.24,212.5
88.99,215
56.02,102.5
59.96,142.5
88.54,145
95.12,102.5
116.39,275
144.11,250
78.24,
87.68,
99.7,
124.47,
74.43,
81.74,
151.73,
117.53,
66.59,
116.57,
97.7,
131.9,
117.53,170
98.61,
98.61,
73.39,
124.47,
151.73,
96.12,
96.12,
73.39,
59.83,137.5
59.83,137.5
120.7,
120.7,
94.44,
75.75,
120.7,
94.39,
99.29,
75.75,
56.7,
102.92,
59.87,117.5
65.05,120
64.14,102.5
115.03,137.5
78.15,100
94.44,102.5
93.26,87.5
56.7,62.5
82.1,70
120.7,
124.37,340
106.59,282.5
120.7,332.5
96.75,288.5
122.74,232.5
74.66,160
106.59,
82.1,
87.23,
87.23,
104.55,
82.1,
74.93,
74.93,
79.56,
80.83,
80.83,
111.72,
88.04,
109.59,
109.59,
65.32,
88.63,
82.1,
79.15,
87.23,
59.65,
35.33,
120.7,
99.88,
72.39,
79.15,
89.68,237.5
89.68,237.5
81.37,237.5
82.1,222.5
81.01,220
81.01,220
134.81,282.5
98.16,220
80.42,235
80.42,235
93.3,220
80.51,190
80.2,192.5
95.98,240
98.11,187.5
98.11,187.5
98.11,187.5
88.54,205
139.57,250
57.7,125
106.23,212.5
106.23,212.5
88.04,170
79.83,170
111.72,190
109.59,205
96.93,185
69.85,145
131.09,182.5
98.7,155
98.7,155
102.78,185
79.15,150
82.1,100
114.08,107.5
39.33,47.5
42.41,50
104.42,
82.1,
97.16,
57.7,
88.04,
98.7,
82.1,
79.15,
79.15,
64.09,
79.15,
106.59,
124.37,
82.1,
106,
66.68,
44.41,
85.82,
77.88,
20.5,
67.31,
66.68,100
72.39,87.5
123.1,105
100.61,77.5
132,70
64.5,45
77.7,
123.1,
71.49,
100.61,
65.18,
132,
64.5,
51.89,115
77.7,122.5
74.98,127.5
74.98,127.5
74.98,127.5
74.98,127.5
47.99,92.5
70.81,92.5
82.28,122.5
58.6,95
58.6,95
61.1,98.5
73.71,102.5
73.71,102.5
55.7,90
77.88,
85.82,
77.7,
44.41,
85.82,
89.58,
82.78,
98.29,
81.78,
66.68,
107.59,
81.78,
122.7,247.5
97.07,
97.98,255
97.98,255
105.69,
105.69,
112.94,
87.54,
81.33,
21.09,
85.96,
82.1,
77.84,
101.11,
78.93,
88.31,
97.61,
123.6,
101.6,
88.59,
105.69,
85.96,
82.1,
113.81,
122.24,
98.02,
88.31,
78.93,
116.12,
112.49,
84.37,
80.65,
88.31,
67.13,
122.24,
88.59,
88.22,
85.14,
76.52,267.5
81.19,217.5
67.13,207.5
86.36,212.5
80.29,220
72.8,205
87.54,207.5
99.79,227.5
88.9,207.5
122.24,250
79.61,182.5
78.47,155
73.12,180
113.81,195
77.34,185
77.34,185
97.52,165
80.33,160
72.76,145
72.76,145
72.76,145
72.76,145
80.92,147.5
88.31,167.5
77.84,142.5
104.33,185
113.4,207.5
172.59,260
63.14,145
63.14,145
63.14,145
63.14,145
122.42,185
116.12,187.5
88.59,137.5
88.59,137.5
76.07,122.5
101.51,152.5
101.51,152.5
98.2,165
98.2,165
98.2,165
93.89,152.5
88,117.5
88,117.5
79.83,
98.2,
62.82,
65.41,
80.06,127.5
55.07,105
55.07,105
56.7,92.5
73.66,102.5
71.4,95
59.33,77.5
53.89,80
54.16,70
62.82,70
34.88,35
71.4,
62.82,
71.4,
94.35,
62.82,
62.82,
73.66,
54.16,
111.58,230
83.64,180
111.58,230
